ac_no,ac_name_x,regions,caste,locality,district,s_no,candidate_name,party,evm_votes,postal_votes,votes,vote_share,st_name,st_no,ac_name_y,constituency_code,position,total_votes,margin,margin_percent,vote_share_percent,margin_buckets_percent,margin_buckets_votes
8,Arabhavi,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,1,ARVIND MAHADEVARAO DALWAI,Indian National Congress,23820,136,23956,12.6,Karnataka,S10,Arabhavi,8,3.0,190105,22739.0,11.961284553273192,12.601457089503167,(10-20),>20000
8,Arabhavi,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,3,PRAKASH RAMAPPA KALASHETTI,Janata Dal  (Secular),1207,10,1217,0.64,Karnataka,S10,Arabhavi,8,4.0,190105,287.0,0.15096920123089871,0.6401725362299782,(0-5),Less than 1000
8,Arabhavi,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,14,NOTA,None of the Above,923,7,930,0.49,Karnataka,S10,Arabhavi,8,5.0,190105,11.0,0.005786276005365456,0.4892033349990795,(0-5),Less than 1000
8,Arabhavi,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,10,BASAPPA SHIVAPPA NAGANUR,Independent,917,2,919,0.48,Karnataka,S10,Arabhavi,8,6.0,190105,215.0,0.11309539465032482,0.48341705899371407,(0-5),Less than 1000
8,Arabhavi,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,4,BASAVANTH IRAPPA VADER,Bahujan Samaj Party,704,0,704,0.37,Karnataka,S10,Arabhavi,8,7.0,190105,6.0,0.0031561505483811577,0.3703216643433892,(0-5),Less than 1000
8,Arabhavi,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,6,GULAPPA BASALINGAPPA METI,Swayam Krushi Party,698,0,698,0.37,Karnataka,S10,Arabhavi,8,8.0,190105,142.0,0.07469556297835406,0.36716551379500806,(0-5),Less than 1000
8,Arabhavi,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,12,SIDDAPPA YALLAPPA HOSUR,Independent,554,2,556,0.29,Karnataka,S10,Arabhavi,8,9.0,190105,71.0,0.03734778148917703,0.29246995081665395,(0-5),Less than 1000
8,Arabhavi,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,9,GURUPUTRA KEMPANNA KULLUR,Independent,484,1,485,0.26,Karnataka,S10,Arabhavi,8,10.0,190105,31.0,0.016306777833302647,0.25512216932747694,(0-5),Less than 1000
8,Arabhavi,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,2,IJAJAHMAD I KOTTALAGI,Aam Aadmi Party,452,2,454,0.24,Karnataka,S10,Arabhavi,8,11.0,190105,116.0,0.06101891060203571,0.23881539149417427,(0-5),Less than 1000
8,Arabhavi,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,13,SUDHA ALLAMPRABHU HIREMATH,Independent,338,0,338,0.18,Karnataka,S10,Arabhavi,8,12.0,190105,27.0,0.01420267746771521,0.17779648089213856,(0-5),Less than 1000
8,Arabhavi,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,8,ASHOK  PANDAPPA  HANAJI,Independent,309,2,311,0.16,Karnataka,S10,Arabhavi,8,13.0,190105,38.0,0.019988953473080665,0.16359380342442334,(0-5),Less than 1000
8,Arabhavi,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,7,SHIVANAND VENKATARAO DESAI,Karnataka Rashtra Samithi,273,0,273,0.14,Karnataka,S10,Arabhavi,8,14.0,190105,,,0.14360484995134268,(>20),>20000
9,Gokak,Maharashtra - Karnataka,Lingayat,Semi Urban,Belgaum ,3,JARKIHOLI RAMESH LAXMANRAO,Bharatiya Janata Party,104068,1245,105313,55.31,Karnataka,S10,Gokak,9,1.0,190390,25412.0,13.347339671201219,55.31435474552235,(10-20),>20000
9,Gokak,Maharashtra - Karnataka,Lingayat,Semi Urban,Belgaum ,2,KADADI  MAHANTESH KALLAPPA,Indian National Congress,79431,470,79901,41.97,Karnataka,S10,Gokak,9,2.0,190390,78841.0,41.410263144072694,41.96701507432113,(>20),>20000
9,Gokak,Maharashtra - Karnataka,Lingayat,Semi Urban,Belgaum ,11,NOTA,None of the Above,1052,8,1060,0.56,Karnataka,S10,Gokak,9,3.0,190390,94.0,0.04937234098429539,0.5567519302484374,(0-5),Less than 1000
9,Gokak,Maharashtra - Karnataka,Lingayat,Semi Urban,Belgaum ,9,BHIMASHI NAIK,Independent,961,5,966,0.51,Karnataka,S10,Gokak,9,4.0,190390,187.0,0.0982194442985451,0.507379589264142,(0-5),Less than 1000
9,Gokak,Maharashtra - Karnataka,Lingayat,Semi Urban,Belgaum ,1,J. M. KAREPPAGOL,Aam Aadmi Party,776,3,779,0.41,Karnataka,S10,Gokak,9,5.0,190390,31.0,0.016282367771416565,0.4091601449655969,(0-5),Less than 1000
9,Gokak,Maharashtra - Karnataka,Lingayat,Semi Urban,Belgaum ,4,B. LOHIT,Bahujan Samaj Party,746,2,748,0.39,Karnataka,S10,Gokak,9,6.0,190390,173.0,0.09086611691790536,0.3928777771941804,(0-5),Less than 1000
9,Gokak,Maharashtra - Karnataka,Lingayat,Semi Urban,Belgaum ,10,SURESH BASAPPA MARALINGANNAVAR,Independent,575,0,575,0.3,Karnataka,S10,Gokak,9,7.0,190390,227.0,0.11922895110037292,0.302011660276275,(0-5),Less than 1000
9,Gokak,Maharashtra - Karnataka,Lingayat,Semi Urban,Belgaum ,6,SURESH PATTANSHETTI,Uttama Prajaakeeya Party,344,4,348,0.18,Karnataka,S10,Gokak,9,8.0,190390,53.0,0.027837596512421868,0.18278270917590209,(0-5),Less than 1000
9,Gokak,Maharashtra - Karnataka,Lingayat,Semi Urban,Belgaum ,8,PUNDALIK KEMPANNA KULLUR,Independent,293,2,295,0.15,Karnataka,S10,Gokak,9,9.0,190390,52.0,0.027312358842376178,0.15494511266348024,(0-5),Less than 1000
